key,place_name,admin_name1,latitude,longitude,accuracy
IN/110001,Connaught Place,New Delhi,28.6333,77.2167,
IN/110002,Darya Ganj,New Delhi,28.6333,77.25,
IN/110003,Aliganj,New Delhi,28.575964,77.223188,
IN/110004,Rashtrapati Bhawan,New Delhi,28.614299,77.199458,
IN/110005,Lower Camp Anand Parbat,New Delhi,28.664941,77.174777,
IN/110006,Bara Tooti,New Delhi,28.658524,77.212699,
IN/110007,Birla Lines,New Delhi,28.632667,77.198996,
IN/110008,Patel Nagar,New Delhi,28.655418,77.16462,
IN/110010,Delhi Cantt,New Delhi,28.596128,77.158738,
IN/110011,Nirman Bhawan,New Delhi,28.610949,77.215099,
IN/110012,Inderpuri,New Delhi,28.632,77.145099,
IN/110013,Hazrat Nizamuddin,New Delhi,28.588895,77.25341,
IN/110014,Jangpura,New Delhi,28.582631,77.24866,
IN/110015,Zakhira,New Delhi,28.666515,77.166491,
IN/110016,Hauz Khas,New Delhi,28.54789,77.203125,
IN/110017,Malviya Nagar,New Delhi,28.534233,77.209447,
IN/110018,Vishnu Garden,New Delhi,28.651935,77.094072,
IN/110019,Nehru Place,New Delhi,28.550331,77.250189,
IN/110020,Flatted Factories Complex,New Delhi,28.648132,77.203925,
IN/110021,Malcha Marg,New Delhi,28.601505,77.185978,
IN/110022,Postal Saving Bureau,New Delhi,28.622617,77.21308,
IN/110023,Kidwai Nagar,New Delhi,28.571861,77.211055,
IN/110024,Lajpat Nagar,New Delhi,28.564903,77.240332,
IN/110025,Jamia Nagar,New Delhi,28.553853,77.295553,
IN/110026,Punjabi Bagh,New Delhi,28.661975,77.124156,
IN/110027,J 6block Rajouri Garden,New Delhi,28.64198,77.114766,
IN/110028,Naraina Industrial Estate,New Delhi,28.631302,77.135573,
IN/110029,Himayunpur Extn,New Delhi,28.6488,77.1726,
IN/110030,T B Hospital,New Delhi,28.5288,77.188422,
IN/110031,Gandhi Nagar,New Delhi,28.659608,77.267493,
IN/110032,Shahdara,New Delhi,28.6667,77.3167,
IN/110033,Adarsh Nagar,New Delhi,28.7556,77.1667,
IN/110034,Pitampura,New Delhi,28.69897,77.138723,
IN/110035,Inderlok,New Delhi,28.672204,77.165214,
IN/110036,Alipur,New Delhi,28.8,77.15,4
IN/110037,Gurgaon Road,New Delhi,28.475658,76.807223,
IN/110038,A F Rajokari,New Delhi,28.513004,77.096195,
IN/110039,Bawana,New Delhi,28.8,77.0333,
IN/110040,Sanoth,New Delhi,28.85,77.1,
IN/110041,Nagloi,New Delhi,28.682044,77.067561,
IN/110042,Badli,New Delhi,28.732429,77.144202,
IN/110043,Najafgarh,New Delhi,28.6125,76.9847,
IN/110044,Badarpur T P Station,New Delhi,28.5083,77.3,
IN/110045,Palam Enclave,New Delhi,28.5667,77.1,
IN/110046,Nangal Rava,New Delhi,28.608748,77.109683,
IN/110047,Arjan Garh,New Delhi,28.480777,77.125858,
IN/110048,Kailash,New Delhi,28.6092,77.1569,
IN/110049,Andrews Ganj,New Delhi,28.56268,77.227582,
IN/110051,Azad Nagar,New Delhi,28.598723,77.156257,
IN/110052,Wazirpur Phase Iii,New Delhi,28.697544,77.16044,
IN/110053,Zafrabad,New Delhi,28.68413,77.272133,
IN/110054,Civil Lines,New Delhi,28.681428,77.222687,
IN/110055,Paharganj,New Delhi,28.645605,77.212778,
IN/110056,Shakurbasti,New Delhi,28.681624,77.128048,
IN/110057,Munirka,New Delhi,28.55322,77.174507,
IN/110058,Janakpuri,New Delhi,28.62267,77.087631,
IN/110059,Uttam Nagar,New Delhi,28.6167,77.2167,
IN/110060,New Rajinder Nagar,New Delhi,28.634934,77.179283,
IN/110061,Bijwasan,New Delhi,28.532572,77.053045,
IN/110062,Hamdard Nagar,New Delhi,28.515309,77.249855,
IN/110063,Paschim Vihar,New Delhi,28.669126,77.092866,
IN/110064,Hari Nagar Be Block,New Delhi,28.629134,77.120471,
IN/110065,East Of Kailash,New Delhi,28.558346,77.253083,
IN/110066,R K Puram,New Delhi,28.566008,77.176744,
IN/110067,D D A Munirka,New Delhi,28.556133,77.167771,
IN/110070,Vasant Kunj,New Delhi,28.529312,77.148444,
IN/110071,Chhawla,New Delhi,28.561372,77.00203,
IN/110072,Jharoda Kalan,New Delhi,28.652538,76.950491,
IN/110073,Ujwa,New Delhi,28.562685,76.915328,
IN/110081,Kanjhawala,New Delhi,28.737674,77.007537,
IN/110082,Khera Kalan,New Delhi,28.772243,77.118587,
IN/110083,Mangolpuri Block A,New Delhi,28.692632,77.094526,
IN/110084,Qutabgarh,New Delhi,28.800838,76.960561,
IN/110088,Shalimar Bagh,New Delhi,28.716253,77.156259,
IN/110091,Himmatpuri,New Delhi,28.60368,77.304441,
IN/110092,Shakarpur,New Delhi,28.627949,77.278621,
IN/110093,Nand Nagri A Block,New Delhi,28.693616,77.313834,
IN/110094,Gokulpuri,New Delhi,28.70477,77.282997,
IN/110096,Bhajan Pura,New Delhi,28.700453,77.259194,
